Date,Confirmed,Deaths,Recovered,Active,No_Of_New_Cases,% Deaths,% Recovered,% Deaths Per Recovered,% New Cases,Total Countries
2020-01-22,554,17,28,509,0,3.07,5.05,60.71,0.0,5
2020-01-23,653,18,30,605,99,2.76,4.59,60.0,15.16,7
2020-01-24,939,26,36,877,286,2.77,3.83,72.22,30.46,8
2020-01-25,1432,42,39,1351,493,2.93,2.72,107.69,34.43,10
2020-01-26,2115,56,52,2007,683,2.65,2.46,107.69,32.29,12
2020-01-27,2923,82,61,2780,808,2.81,2.09,134.43,27.64,15
2020-01-28,5574,131,107,5336,2651,2.35,1.92,122.43,47.56,15
2020-01-29,6162,133,126,5903,588,2.16,2.04,105.56,9.54,17
2020-01-30,8230,171,143,7916,2068,2.08,1.74,119.58,25.13,19
2020-01-31,9915,213,222,9480,1685,2.15,2.24,95.95,16.99,22
2020-02-01,12026,259,284,11483,2111,2.15,2.36,91.2,17.55,24
2020-02-02,16772,362,472,15938,4746,2.16,2.81,76.69,28.3,24
2020-02-03,19872,426,623,18823,3100,2.14,3.14,68.38,15.6,24
2020-02-04,23882,492,852,22538,4010,2.06,3.57,57.75,16.79,25
2020-02-05,27624,564,1124,25936,3742,2.04,4.07,50.18,13.55,25
2020-02-06,30779,634,1487,28658,3155,2.06,4.83,42.64,10.25,25
2020-02-07,34371,719,2010,31642,3592,2.09,5.85,35.77,10.45,26
2020-02-08,37105,806,2615,33684,2734,2.17,7.05,30.82,7.37,26
2020-02-09,40134,906,3241,35987,3029,2.26,8.08,27.95,7.55,26
2020-02-10,42741,1013,3943,37785,2607,2.37,9.23,25.69,6.1,26
2020-02-11,44782,1113,4680,38989,2041,2.49,10.45,23.78,4.56,26
2020-02-12,45200,1118,5143,38939,418,2.47,11.38,21.74,0.92,26
2020-02-13,60353,1371,6288,52694,15153,2.27,10.42,21.8,25.11,26
2020-02-14,66880,1523,8051,57306,6527,2.28,12.04,18.92,9.76,27
2020-02-15,69022,1666,9386,57970,2142,2.41,13.6,17.75,3.1,27
2020-02-16,71205,1770,10856,58579,2183,2.49,15.25,16.3,3.07,27
2020-02-17,73239,1868,12573,58798,2034,2.55,17.17,14.86,2.78,27
2020-02-18,75120,2008,14340,58772,1881,2.67,19.09,14.0,2.5,27
2020-02-19,75620,2123,16109,57388,500,2.81,21.3,13.18,0.66,28
2020-02-20,76107,2247,18161,55699,487,2.95,23.86,12.37,0.64,28
2020-02-21,76636,2250,18874,55512,529,2.94,24.63,11.92,0.69,30
2020-02-22,78168,2457,22870,52841,1532,3.14,29.26,10.74,1.96,30
2020-02-23,78379,2464,23376,52539,211,3.14,29.82,10.54,0.27,31
2020-02-24,78712,2622,25209,50881,333,3.33,32.03,10.4,0.42,36
2020-02-25,79421,2700,27883,48838,709,3.4,35.11,9.68,0.89,41
2020-02-26,80114,2759,30362,46993,693,3.44,37.9,9.09,0.87,47
2020-02-27,80969,2801,33255,44913,855,3.46,41.07,8.42,1.06,51
2020-02-28,81783,2860,36689,42234,814,3.5,44.86,7.8,1.0,57
2020-02-29,82863,2926,39755,40182,1080,3.53,47.98,7.36,1.3,61
2020-03-01,84659,2979,42686,38994,1796,3.52,50.42,6.98,2.12,66
2020-03-02,86037,3057,45572,37408,1378,3.55,52.97,6.71,1.6,73
2020-03-03,87771,3132,48198,36441,1734,3.57,54.91,6.5,1.98,76
2020-03-04,89653,3220,51129,35304,1882,3.59,57.03,6.3,2.1,80
2020-03-05,91942,3313,53755,34874,2289,3.6,58.47,6.16,2.49,84
2020-03-06,95432,3418,55730,36284,3490,3.58,58.4,6.13,3.66,93
2020-03-07,98995,3515,58224,37256,3563,3.55,58.82,6.04,3.6,94
2020-03-08,102683,3753,60576,38354,3688,3.65,58.99,6.2,3.59,99
2020-03-09,106480,3934,62375,40171,3797,3.69,58.58,6.31,3.57,102
2020-03-10,111478,4213,64157,43108,4998,3.78,57.55,6.57,4.48,105
2020-03-11,118933,4551,66714,47668,7455,3.83,56.09,6.82,6.27,111
2020-03-12,124629,4851,67991,51787,5696,3.89,54.55,7.13,4.57,113
2020-03-13,138903,5348,69741,63814,14274,3.85,50.21,7.67,10.28,120
2020-03-14,149787,5761,72112,71914,10884,3.85,48.14,7.99,7.27,134
2020-03-15,161038,6399,75522,79117,11251,3.97,46.9,8.47,6.99,138
2020-03-16,175625,7076,76949,91600,14587,4.03,43.81,9.2,8.31,143
2020-03-17,191760,7878,79431,104451,16135,4.11,41.42,9.92,8.41,146
2020-03-18,211392,8774,81781,120837,19632,4.15,38.69,10.73,9.29,150
2020-03-19,238996,9883,83418,145695,27604,4.14,34.9,11.85,11.55,154
2020-03-20,269106,11356,85863,171887,30110,4.22,31.91,13.23,11.19,161
2020-03-21,301732,13058,90130,198544,32626,4.33,29.87,14.49,10.81,163
2020-03-22,336070,14757,94976,226337,34338,4.39,28.26,15.54,10.22,168
2020-03-23,378255,16685,95442,266128,42185,4.41,25.23,17.48,11.15,169
2020-03-24,419689,18949,104485,296255,41449,4.52,24.9,18.14,9.88,171
2020-03-25,471067,21714,110045,339308,51378,4.61,23.36,19.73,10.91,174
2020-03-26,533820,24698,118001,391121,62753,4.63,22.11,20.93,11.76,174
2020-03-27,598933,28187,126393,444353,65113,4.71,21.1,22.3,10.87,175
2020-03-28,666164,31867,134613,499684,67231,4.78,20.21,23.67,10.09,176
2020-03-29,725356,35315,143858,546183,59192,4.87,19.83,24.55,8.16,176
2020-03-30,792009,39411,159109,593489,66653,4.98,20.09,24.77,8.42,177
2020-03-31,866996,44237,172417,650342,74987,5.1,19.89,25.66,8.65,179
2020-04-01,943133,49728,187351,706054,76137,5.27,19.86,26.54,8.07,179
2020-04-02,1025371,55906,204139,765326,82238,5.45,19.91,27.39,8.02,180
2020-04-03,1109275,61785,219394,828096,83904,5.57,19.78,28.16,7.56,180
2020-04-04,1187787,67546,239507,880734,78512,5.69,20.16,28.2,6.61,180
2020-04-05,1259757,72466,253209,934082,71970,5.75,20.1,28.62,5.71,182
2020-04-06,1332465,78151,269654,984660,72708,5.87,20.24,28.98,5.46,183
2020-04-07,1409769,85968,292949,1030852,77304,6.1,20.78,29.35,5.48,183
2020-04-08,1493723,92549,321583,1079591,83954,6.2,21.53,28.78,5.62,183
2020-04-09,1580403,100048,346734,1133621,86680,6.33,21.94,28.85,5.48,183
2020-04-10,1668448,107184,368392,1192872,88045,6.42,22.08,29.1,5.28,183
2020-04-11,1744278,113240,394523,1236515,75830,6.49,22.62,28.7,4.35,183
2020-04-12,1839848,118915,413812,1307121,95591,6.46,22.49,28.74,5.2,183
2020-04-13,1909615,124603,440900,1344112,69767,6.53,23.09,28.26,3.65,183
2020-04-14,1983543,131436,465902,1386205,73928,6.63,23.49,28.21,3.73,183
2020-04-15,2061484,139678,502490,1419316,77941,6.78,24.38,27.8,3.78,183
2020-04-16,2157520,146841,533169,1477510,96036,6.81,24.71,27.54,4.45,183
2020-04-17,2244934,155688,559220,1530026,87414,6.94,24.91,27.84,3.89,183
2020-04-18,2317991,162069,583031,1572891,73058,6.99,25.15,27.8,3.15,183
2020-04-19,2397749,166581,614581,1616587,79758,6.95,25.63,27.1,3.33,183
2020-04-20,2471353,171996,636499,1662858,73604,6.96,25.76,27.02,2.98,183
2020-04-21,2547137,179047,671243,1696847,75784,7.03,26.35,26.67,2.98,183
2020-04-22,2624496,185689,701604,1737203,79547,7.08,26.73,26.47,3.03,183
2020-04-23,2714479,192449,730160,1791870,89983,7.09,26.9,26.36,3.31,183
2020-04-24,2801403,199048,780076,1822279,96958,7.11,27.85,25.52,3.46,183
2020-04-25,2884699,204625,807773,1872301,83296,7.09,28.0,25.33,2.89,183
2020-04-26,2956555,208505,836331,1911719,71857,7.05,28.29,24.93,2.43,183
2020-04-27,3025155,213132,864010,1948013,68600,7.05,28.56,24.67,2.27,183
2020-04-28,3101153,219647,897213,1984293,76103,7.08,28.93,24.48,2.45,183
2020-04-29,3178442,226339,939258,2012845,79801,7.12,29.55,24.1,2.51,183
2020-04-30,3261520,232208,1004211,2025101,83078,7.12,30.79,23.12,2.55,183
2020-05-01,3349123,237331,1042413,2069379,87603,7.09,31.12,22.77,2.62,183
2020-05-02,3429770,242780,1083232,2103758,80814,7.08,31.58,22.41,2.36,183
2020-05-03,3506697,246238,1115514,2144945,76927,7.02,31.81,22.07,2.19,183
2020-05-04,3582666,250314,1149535,2182817,75970,6.99,32.09,21.78,2.12,183
2020-05-05,3662999,256199,1186025,2220775,80333,6.99,32.38,21.6,2.19,183
2020-05-06,3753356,262728,1231945,2258683,90357,7.0,32.82,21.33,2.41,183
2020-05-07,3842131,268009,1271348,2302774,90358,6.98,33.09,21.08,2.35,183
2020-05-08,3933558,273460,1307814,2352284,92907,6.95,33.25,20.91,2.36,183
2020-05-09,4018752,277676,1361322,2379754,85194,6.91,33.87,20.4,2.12,183
2020-05-10,4094635,281250,1394894,2418491,75892,6.87,34.07,20.16,1.85,183
2020-05-11,4170728,284712,1441850,2444166,76150,6.83,34.57,19.75,1.83,183
2020-05-12,4254713,290233,1478846,2485634,84005,6.82,34.76,19.63,1.97,183
2020-05-13,4339613,295312,1534635,2509666,85065,6.81,35.36,19.24,1.96,183
2020-05-14,4437057,300479,1574289,2562289,97445,6.77,35.48,19.09,2.2,183
2020-05-15,4532667,305591,1622267,2604809,95610,6.74,35.79,18.84,2.11,183
2020-05-16,4627494,309687,1678822,2638985,94827,6.69,36.28,18.45,2.05,183
2020-05-17,4705229,312959,1719713,2672557,77735,6.65,36.55,18.2,1.65,183
2020-05-18,4793451,320619,1772600,2700232,88222,6.69,36.98,18.09,1.84,183
2020-05-19,4889951,325357,1823932,2740662,96709,6.65,37.3,17.84,1.98,183
