Date,Country/Region,Confirmed,Deaths,Recovered,Active,No_Of_New_Cases,No_Of_New_Deaths,No_Of_New_Recovered,Latitude_x,Longtitude_x,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Latitude_y,Longtitude_y,Mean_Age,Lockdown_Date,Lockdown_Type,Country_Code,New Last Week,New Last Month,Population in Millions,Cases per Million People
2020-07-25,US,4178021,146460,1279414,2752147,65490,900,17790,37.09024,-95.712891,326687501,79745920,2020-03-10,2020-03-10,37.09024,-95.712891,37.6,2020-03-23,Partial,USA,466608,1755722,326.69,12789
2020-07-25,Brazil,2394513,86449,1785359,522705,51147,1211,92145,-14.235004,-51.92528,209469333,6621000,2020-03-18,2020-02-27,-14.235004,-51.92528,31.3,2020-03-17,Partial,BRA,319653,1166399,209.47,11431
2020-07-25,India,1385635,32060,885573,468002,48611,702,36141,20.593684,78.96288,1352617328,17423000,2020-03-12,2020-01-31,20.593684,78.96288,26.7,2020-03-24,Full,IND,307854,895234,1352.62,1024
2020-07-25,Russia,805332,13172,596064,196096,5833,146,8336,61.52401,105.31875600000001,144478050,24551000,2020-03-20,2020-02-01,61.52401,105.31875600000001,38.7,2020-03-27,Full,RUS,41117,192184,144.48,5574
2020-07-25,South Africa,434200,6655,263054,164491,12204,312,17283,-30.559482,22.937506,57779622,10472000,2020-03-28,2020-03-06,-30.559482,22.937506,26.1,2020-03-26,Full,ZAF,83321,315825,57.78,7515
2020-07-25,Mexico,385036,42645,288819,53572,6751,0,5437,23.634501,-102.552784,126190788,41313000,2020-03-20,2020-02-29,23.634501,-102.552784,27.5,2020-03-14,Partial,MEX,46123,182085,126.19,3051
2020-07-25,Peru,375961,17843,259423,98695,0,0,0,-9.189967,-75.015152,31989256,4419000,2020-03-21,2020-03-07,-9.189967,-75.015152,27.5,2020-03-10,Full,PER,26461,107359,31.99,11752
2020-07-25,Chile,343592,9020,316169,18403,2288,106,2473,-35.675146999999996,-71.542969,18729160,5723000,2020-03-23,2020-03-04,-35.675146999999996,-71.542969,33.7,2020-03-26,Full,CHL,14746,84528,18.73,18344
2020-07-25,United Kingdom,300270,45823,1427,253020,770,61,2,55.378051,-3.435973,66460344,36316000,2020-03-06,2020-02-01,55.378051,-3.435973,40.2,2020-03-23,Full,GBR,4638,17758,66.46,4518
2020-07-25,Iran,288839,15484,251319,22036,2316,195,2107,32.427908,53.68804599999999,81800269,7295000,2020-02-20,2020-02-20,32.427908,53.68804599999999,29.5,2020-03-15,Full,IRN,17233,73743,81.8,3531
2020-07-25,Pakistan,273113,5822,237434,29857,1226,35,838,30.375321000000003,69.345116,212215030,14000,2020-03-20,2020-02-27,30.375321000000003,69.345116,22.5,2020-03-26,Full,PAK,9617,77368,212.22,1287
2020-07-25,Spain,272421,28432,150376,93613,0,0,0,40.463667,-3.7492199999999998,46796540,82773000,2020-03-04,2020-02-02,40.463667,-3.7492199999999998,43.2,2020-03-14,Full,ESP,12166,24935,46.8,5821
2020-07-25,Saudi Arabia,264973,2703,217782,44488,2201,31,2051,23.885942,45.079162,33699947,15334000,2020-03-25,2020-03-03,23.885942,45.079162,29.8,2020-03-15,Full,SAU,16557,94334,33.7,7863
2020-07-25,Italy,245864,35102,198320,12442,274,5,128,41.87194,12.56738,60421760,61567200,2020-02-22,2020-02-01,41.87194,12.56738,45.9,2020-03-11,Full,ITA,1648,6158,60.42,4069
2020-07-25,Colombia,240795,8269,119667,112859,7254,294,5803,4.570868,-74.297333,49648685,3904000,2020-03-23,2020-03-07,4.570868,-74.297333,30.1,2020-03-25,Full,COL,50095,160196,49.65,4850
2020-07-25,Turkey,225173,5596,208477,11100,921,16,1103,38.963745,35.243322,82319724,45768000,2020-03-18,2020-03-12,38.963745,35.243322,29.9,2020-03-23,Full,TUR,6456,32058,82.32,2735
2020-07-25,Bangladesh,221178,2874,122090,96214,2520,38,1114,23.684994,90.35633100000001,161356039,14000,2020-03-19,2020-03-09,23.684994,90.35633100000001,25.6,2020-03-19,Full,BGD,19112,94572,161.36,1371
2020-07-25,France,217801,30195,80945,106661,4,0,2,46.227638,2.213749,66977107,89322000,2020-02-16,2020-01-25,46.227638,2.213749,41.2,2020-03-16,Full,FRA,5858,19194,66.98,3252
2020-07-25,Germany,206278,9124,189919,7235,655,4,223,51.165690999999995,10.451526,82905782,38881000,2020-03-10,2020-01-28,51.165690999999995,10.451526,45.9,2020-03-20,Full,DEU,3852,12907,82.91,2488
2020-07-25,Argentina,158334,2893,68022,87419,4814,86,2575,-38.416097,-63.616671999999994,44494502,6942000,2020-03-09,2020-03-04,-38.416097,-63.616671999999994,30.8,2020-03-20,Full,ARG,35810,105877,44.49,3559
2020-07-25,Canada,115457,8928,100765,5764,355,6,261,56.130366,-106.34677099999999,37057765,21134000,2020-03-10,2020-01-27,56.130366,-106.34677099999999,40.5,2020-03-16,Partial,CAN,3595,11007,37.06,3115
2020-07-25,Qatar,109036,164,105750,3122,398,0,330,25.354826,51.183884,2781677,1819300,2020-03-29,2020-03-01,25.354826,51.183884,31.3,2020-03-11,Full,QAT,2728,17198,2.78,39222
2020-07-25,Iraq,107573,4284,73317,29972,2862,72,2049,33.223191,43.679291,38433600,14000,2020-03-05,2020-02-25,33.223191,43.679291,19.4,2020-03-22,Full,IRQ,17353,68434,38.43,2799
2020-07-25,Indonesia,97286,4714,55354,37218,1868,49,1409,-0.789275,113.921327,267663435,15810000,2020-03-12,2020-03-03,-0.789275,113.921327,28.0,2020-04-10,Partial,IDN,12404,47099,267.66,363
2020-07-25,Egypt,91583,4558,32903,54122,511,40,933,26.820553000000004,30.802497999999996,98423595,11196000,2020-03-09,2020-02-15,26.820553000000004,30.802497999999996,24.7,2020-03-24,Full,EGY,4411,30453,98.42,931
