Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active
,Afghanistan,33.0,65.0,2020-01-22,0.0,0.0,0,0.0
,Nicaragua,12.8654,-85.2072,2020-01-22,0.0,0.0,0,0.0
,Niger,17.6078,8.0817,2020-01-22,0.0,0.0,0,0.0
,Nigeria,9.082,8.6753,2020-01-22,0.0,0.0,0,0.0
,North Macedonia,41.6086,21.7453,2020-01-22,0.0,0.0,0,0.0
,Norway,60.472,8.4689,2020-01-22,0.0,0.0,0,0.0
,Oman,21.0,57.0,2020-01-22,0.0,0.0,0,0.0
,Pakistan,30.3753,69.3451,2020-01-22,0.0,0.0,0,0.0
,Panama,8.538,-80.7821,2020-01-22,0.0,0.0,0,0.0
,Papua New Guinea,-6.315,143.9555,2020-01-22,0.0,0.0,0,0.0
,Paraguay,-23.4425,-58.4438,2020-01-22,0.0,0.0,0,0.0
,Peru,-9.19,-75.0152,2020-01-22,0.0,0.0,0,0.0
,Philippines,13.0,122.0,2020-01-22,0.0,0.0,0,0.0
,Poland,51.9194,19.1451,2020-01-22,0.0,0.0,0,0.0
,Portugal,39.3999,-8.2245,2020-01-22,0.0,0.0,0,0.0
,Qatar,25.3548,51.1839,2020-01-22,0.0,0.0,0,0.0
,Romania,45.9432,24.9668,2020-01-22,0.0,0.0,0,0.0
,Russia,60.0,90.0,2020-01-22,0.0,0.0,0,0.0
,Rwanda,-1.9403,29.8739,2020-01-22,0.0,0.0,0,0.0
,Saint Lucia,13.9094,-60.9789,2020-01-22,0.0,0.0,0,0.0
,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-01-22,0.0,0.0,0,0.0
,San Marino,43.9424,12.4578,2020-01-22,0.0,0.0,0,0.0
,Saudi Arabia,24.0,45.0,2020-01-22,0.0,0.0,0,0.0
,Senegal,14.4974,-14.4524,2020-01-22,0.0,0.0,0,0.0
,Serbia,44.0165,21.0059,2020-01-22,0.0,0.0,0,0.0
,Seychelles,-4.6796,55.492,2020-01-22,0.0,0.0,0,0.0
,Singapore,1.2833,103.8333,2020-01-22,0.0,0.0,0,0.0
,Slovakia,48.669,19.699,2020-01-22,0.0,0.0,0,0.0
,Slovenia,46.1512,14.9955,2020-01-22,0.0,0.0,0,0.0
,South Africa,-30.5595,22.9375,2020-01-22,0.0,0.0,0,0.0
,New Zealand,-40.9006,174.886,2020-01-22,0.0,0.0,0,0.0
,Netherlands,52.1326,5.2913,2020-01-22,0.0,0.0,0,0.0
Sint Maarten,Netherlands,18.0425,-63.0548,2020-01-22,0.0,0.0,0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-01-22,0.0,0.0,0,0.0
,Italy,43.0,12.0,2020-01-22,0.0,0.0,0,0.0
,Jamaica,18.1096,-77.2975,2020-01-22,0.0,0.0,0,0.0
,Japan,36.0,138.0,2020-01-22,2.0,0.0,0,2.0
,Jordan,31.24,36.51,2020-01-22,0.0,0.0,0,0.0
,Kazakhstan,48.0196,66.9237,2020-01-22,0.0,0.0,0,0.0
,Kenya,-0.0236,37.9062,2020-01-22,0.0,0.0,0,0.0
,South Korea,36.0,128.0,2020-01-22,1.0,0.0,0,1.0
,Kuwait,29.5,47.75,2020-01-22,0.0,0.0,0,0.0
,Kyrgyzstan,41.2044,74.7661,2020-01-22,0.0,0.0,0,0.0
,Latvia,56.8796,24.6032,2020-01-22,0.0,0.0,0,0.0
,Lebanon,33.8547,35.8623,2020-01-22,0.0,0.0,0,0.0
,Liberia,6.4281,-9.4295,2020-01-22,0.0,0.0,0,0.0
,Liechtenstein,47.14,9.55,2020-01-22,0.0,0.0,0,0.0
,Lithuania,55.1694,23.8813,2020-01-22,0.0,0.0,0,0.0
,Spain,40.0,-4.0,2020-01-22,0.0,0.0,0,0.0
,Luxembourg,49.8153,6.1296,2020-01-22,0.0,0.0,0,0.0
,Malaysia,2.5,112.5,2020-01-22,0.0,0.0,0,0.0
,Maldives,3.2028,73.2207,2020-01-22,0.0,0.0,0,0.0
,Malta,35.9375,14.3754,2020-01-22,0.0,0.0,0,0.0
,Mauritania,21.0079,10.9408,2020-01-22,0.0,0.0,0,0.0
,Mauritius,-20.2,57.5,2020-01-22,0.0,0.0,0,0.0
,Mexico,23.6345,-102.5528,2020-01-22,0.0,0.0,0,0.0
,Moldova,47.4116,28.3699,2020-01-22,0.0,0.0,0,0.0
,Monaco,43.7333,7.4167,2020-01-22,0.0,0.0,0,0.0
,Mongolia,46.8625,103.8467,2020-01-22,0.0,0.0,0,0.0
,Montenegro,42.5,19.3,2020-01-22,0.0,0.0,0,0.0
,Morocco,31.7917,-7.0926,2020-01-22,0.0,0.0,0,0.0
,Namibia,-22.9576,18.4904,2020-01-22,0.0,0.0,0,0.0
,Nepal,28.1667,84.25,2020-01-22,0.0,0.0,0,0.0
Aruba,Netherlands,12.5186,-70.0358,2020-01-22,0.0,0.0,0,0.0
,Madagascar,-18.7669,46.8691,2020-01-22,0.0,0.0,0,0.0
,Israel,31.0,35.0,2020-01-22,0.0,0.0,0,0.0
,Sri Lanka,7.0,81.0,2020-01-22,0.0,0.0,0,0.0
,Suriname,3.9193,-56.0278,2020-01-22,0.0,0.0,0,0.0
,West Bank and Gaza,31.9522,35.2332,2020-01-22,0.0,0.0,0,0.0
,Guinea-Bissau,11.8037,-15.1804,2020-01-22,0.0,0.0,0,0.0
,Mali,17.570692,-3.996166000000001,2020-01-22,0.0,0.0,0,0.0
,Saint Kitts and Nevis,17.357822,-62.782998,2020-01-22,0.0,0.0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2020-01-22,0.0,0.0,0,0.0
Yukon,Canada,64.2823,-135.0,2020-01-22,0.0,0.0,0,0.0
,Kosovo,42.602636,20.902977,2020-01-22,0.0,0.0,0,0.0
,Burma,21.9162,95.956,2020-01-22,0.0,0.0,0,0.0
Anguilla,United Kingdom,18.2206,-63.0686,2020-01-22,0.0,0.0,0,0.0
British Virgin Islands,United Kingdom,18.4207,-64.64,2020-01-22,0.0,0.0,0,0.0
Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,2020-01-22,0.0,0.0,0,0.0
,MS Zaandam,0.0,0.0,2020-01-22,0.0,0.0,0,0.0
,Botswana,-22.3285,24.6849,2020-01-22,0.0,0.0,0,0.0
,Burundi,-3.3731,29.9189,2020-01-22,0.0,0.0,0,0.0
,Sierra Leone,8.460555000000001,-11.779889,2020-01-22,0.0,0.0,0,0.0
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,2020-01-22,0.0,0.0,0,0.0
,Malawi,-13.254307999999998,34.301525,2020-01-22,0.0,0.0,0,0.0
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,2020-01-22,0.0,0.0,0,0.0
Saint Pierre and Miquelon,France,46.8852,-56.3159,2020-01-22,0.0,0.0,0,0.0
,South Sudan,6.877000000000002,31.307,2020-01-22,0.0,0.0,0,0.0
,Western Sahara,24.2155,-12.8858,2020-01-22,0.0,0.0,0,0.0
,Sao Tome and Principe,0.18636,6.613081,2020-01-22,0.0,0.0,0,0.0
,Yemen,15.552727,48.516388,2020-01-22,0.0,0.0,0,0.0
,Comoros,-11.6455,43.3333,2020-01-22,0.0,0.0,0,0.0
,Tajikistan,38.861034,71.276093,2020-01-22,0.0,0.0,0,0.0
